title,author,date,topic,classified_content
What the hail is happening with Brisbane’s weather?,Anthony Cornelius,02-12-2025 10:34:00 AM,Summer 2025-26 in the NEM,"The summary of the news ""What the hail is happening with Brisbane’s weather?"" posted at 02-12-2025 10:34:00 AM is: The article explains that Brisbane and Southeast Queensland have experienced an exceptional hail and thunderstorm season in 2025, with ten days of giant hail in six weeks, driven by a combination of climate drivers including a sudden stratospheric warming event, a negative Indian Ocean Dipole, a weak La Niña, marine heatwaves, and frequent upper troughs, with the pattern expected to persist until mid-December, posing risks to infrastructure such as solar farms and businesses. Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Its Timeframe of the event impact on the electricity_market is: Late October 2025 to mid-December 2025. Its root_cause is: Multiple climate drivers: sudden stratospheric warming, negative Indian Ocean Dipole, weak La Niña/La Niña Modoki, marine heatwave, and upper troughs. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 02-12-2025 10:34:00 AM. Its affected region is: Brisbane and Southeast Queensland, Australia. Its affected key users is: Insurers, businesses, solar farms. Its cause type is: Natural/climate. Its causes (a summarized list of cause events) is: Sudden stratospheric warming, negative Indian Ocean Dipole, weak La Niña, marine heatwave, upper troughs."
"Why network outages matter for generator and storage revenue, risk and investment decisions",Nadali Mahmoudi,01-12-2025 03:32:00 PM,About Market Modelling,"The summary of the news ""Why network outages matter for generator and storage revenue, risk and investment decisions"" posted at 01-12-2025 is: The article explains how increasing network outages in Australia’s National Electricity Market (NEM) create both opportunities and risks for battery energy storage systems (BESS) by driving price volatility while posing curtailment threats. Using a July 2029 case study of a Woolooga to Palmwoods 275kV line outage in Queensland, it demonstrates that ignoring network constraints in capacity models overestimates wind capacity and underestimates the need for gas generation. The outage forces a low-voltage constraint that restricts central Queensland coal output, requiring gas-fired generation to meet demand, thereby increasing volatility and revenue risk for BESS operators. The article stresses the importance of incorporating network constraints into market modelling for accurate investment decisions.; Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: July 8–12, 2029 (modelled period); ongoing trend of increasing outage frequency. Its root_cause is: Outage of the Woolooga to Palmwoods 275kV transmission line in Queensland, triggering a low-voltage constraint that limits central Queensland coal generation and forces reliance on gas. Its accident scale is: Single transmission line outage (Woolooga to Palmwoods 275kV). Its dates are: Article date: 01-12-2025; Event dates: 08-07-2029 to 12-07-2029. Its affected region is: Queensland, Australia (particularly the Woolooga to Palmwoods corridor and southern Queensland). Its affected key users is: BESS operators, developers, investors, and off-takers; gas generators in southern Queensland. Its cause type is: Transmission line outage (operational/technical). Its causes are: Increased frequency of network outages in the NEM; specific outage of the Woolooga to Palmwoods 275kV line; resultant binding of the low-voltage constraint “Avoid overload of Woolooga to Gympie 132kV on trip of Woolooga to South Pine 275kV line.”"
"Mainland Frequency dragged downwards around sunset, on Sunday 30th November 2025",Paul McArdle,01-12-2025 03:17:00 PM,2025-11-30,"The summary of the news ""Mainland Frequency dragged downwards around sunset, on Sunday 30th November 2025"" posted at 01-12-2025 03:17:00 PM is: A downward drag on system frequency occurred around sunset on Sunday 30th November 2025 in the Mainland grid, attributed to potential under-performance of variable renewable energy (VRE) sources, especially rooftop PV and possibly collective under-performance of Semi-Scheduled units, highlighting forecasting challenges for frequency control. Other factors may also have contributed. Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its timeframe of the event impact on the electricity_market is: Event on 30 Nov 2025, impact immediate within hours. Its root_cause is: Under-performance of VRE (rooftop PV and Semi-Scheduled units) and forecasting inadequacy. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 30-11-2025. Its affected region is: Mainland (likely Australian National Electricity Market). Its affected key users is: Unknown. Its cause type is: Operational/forecasting failure. Its causes (a summarized list of cause events) is: Under-performance of rooftop PV, collective under-performance of Semi-Scheduled units, forecasting challenges."
AEMO releases ‘2025 Transition Plan for System Security’,Paul McArdle,01-12-2025 09:11:00 AM,2025-12-01,"The summary of the news ""AEMO releases ‘2025 Transition Plan for System Security’"" posted at 01-12-2025 09:11:00 AM is: AEMO's 2025 Transition Plan for System Security (TPSS) outlines upcoming system security challenges in Australia's National Electricity Market (NEM), including system strength requirements in New South Wales (first flagged in 2021) and minimum system load risks in Queensland and other states from 2026 onward, calling for new investments and reforms to maintain reliability and co-optimize costs, with media linking the report to potential further delays in the closure of Eraring Power Station. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: Ongoing – with specific transition points identified for system strength in NSW (from 2021) and minimum system load risks from 2026 in Queensland and other states. Its root_cause is: Transition to renewable energy and retirement of coal-fired generation leading to system security risks such as declining inertia, system strength, and minimum load issues. Its accident scale is: Unknown (no specific accident; plan addresses systemic risks). Its dates (if different from the main date; if the same, repeat the same date) is: 01-12-2025 (same as news date, though report covers future dates). Its affected region is: National Electricity Market (NEM) regions, specifically New South Wales, Queensland, and other states. Its affected key users is: Electricity consumers, transmission network service providers, generators, and market operators. Its cause type is: Systemic/transitional (policy and market evolution). Its causes (a summarized list of cause events) is: (1) Retirement of coal-fired power stations (e.g., Eraring); (2) Increasing penetration of renewable energy and distributed energy resources; (3) Need to manage system strength, inertia, and minimum system load in the evolving grid."
AFR headline ‘AEMO warns of NSW blackouts if Eraring closes in 2027’ attracts attention,Paul McArdle,01-12-2025 09:00:00 AM,AEMO's annual 'Transition Plan for System Security' (TPSS),"The summary of the news ""AFR headline ‘AEMO warns of NSW blackouts if Eraring closes in 2027’ attracts attention"" posted at 01-12-2025 09:00:00 AM is: AEMO’s 2025 Transition Plan for System Security warns that New South Wales faces blackouts if the Eraring coal-fired power plant closes as scheduled in 2027, highlighting a significant gap between the planned closure and the availability of replacement generation capacity. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: 2027 (potential blackouts if Eraring closes). Its root_cause is: Planned closure of Eraring coal plant without adequate replacement generation to meet demand. Its accident scale is: Unknown (potential large-scale power outages affecting NSW). Its dates (if different from the main date; if the same, repeat the same date) are: 2027. Its affected region is: New South Wales (NSW), Australia. Its affected key users is: All electricity consumers in NSW, including residential, commercial, and industrial users. Its cause type is: Planned closure of a coal-fired power plant. Its causes (a summarized list of cause events) is: AEMO analysis shows that retirement of Eraring by 2027 would create a supply shortfall; insufficient replacement generation (renewables, storage, or gas) is being built or planned to compensate; grid reliability standards may be breached, leading to blackouts."
One example of why some batteries were charging during price spikes over the past couple of days in NSW,Dan Lee,27-11-2025 03:58:00 PM,2025-11-25,"The summary of the news ""One example of why some batteries were charging during price spikes over the past couple of days in NSW"" posted at 27-11-2025 03:58:00 PM is: On 25 November 2025, a sudden cloud bank over Sydney caused a rapid drop in rooftop PV generation, increasing net demand in NSW and altering transmission line flows, which tightened the feedback constraint N::N_CNLT_2, forcing the 100 MW Capital BESS to charge at a price of $14,974.54/MWh to relieve the constraint; the battery then rebid its load as unavailable in the next interval to avoid further losses. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: short-term (during the 12:15 dispatch interval on 25 November 2025). Its root_cause is: sudden drop in rooftop PV generation due to cloud cover causing rapid demand increase and tightening of a feedback constraint. Its accident scale is: small-scale (affecting one battery and a few hundred MW of curtailed generation). Its dates are: 25-11-2025 (event date). Its affected region is: New South Wales, Australia. Its affected key users is: Capital BESS (100 MW battery). Its cause type is: operational/weather-induced grid constraint. Its causes are: 1) a cloud bank over Sydney reduced rooftop PV output; 2) net market demand surged; 3) transmission line flows changed; 4) the N::N_CNLT_2 feedback constraint tightened its RHS; 5) the dispatch engine instructed the battery to charge at high price to relieve the constraint."
"A look at mainland grid frequency yesterday, November 26th, 2025",Linton Corbet,27-11-2025 02:29:00 PM,2025-11-26,"The summary of the news ""A look at mainland grid frequency yesterday, November 26th, 2025"" posted at 27-11-2025 02:29:00 PM is: The article examines mainland grid frequency on November 26, 2025, following a price spike, noting that frequency remained within the Normal Operating Frequency Band (NOFB) with a low point of 49.853 Hz at 10:51 and a high point around 12:40 indicating supply exceeding demand, though root causes of the deviations are not analyzed. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: November 26, 2025, during 09:00-14:00 (short-term intraday). Its root_cause is: Unknown (supply-demand imbalance inferred but not specified). Its accident scale is: Minor frequency excursion within NOFB. Its dates is: 2025-11-26. Its affected region is: Mainland grid (likely Australian National Electricity Market). Its affected key users is: All electricity market participants on the mainland grid. Its cause type is: Grid frequency event. Its causes is: Low frequency at 10:51 due to supply shortage; high frequency around 12:40 due to excess supply (observed events, causes not studied)."
"Unpacking some of the drivers of volatility in NSW today, on Wednesday 26th Nov 2025",Dan Lee,26-11-2025 01:10:00 PM,2025-11-26,"The summary of the news ""Unpacking some of the drivers of volatility in NSW today, on Wednesday 26th Nov 2025"" posted at 26-11-2025 01:10:00 PM is: On 26 November 2025, the New South Wales (NSW) electricity market experienced extreme intraday volatility, with the spot price spiking to the Market Price Cap ($21,300/MWh) at 11:00 and then plunging to near the Market Price Floor (-$1,000/MWh) within one hour, setting a record intra-day spread of $21,299.99/MWh. The volatility was driven by a convergence of factors: high temperatures pushing up demand, fast-moving storm clouds that suddenly reduced rooftop solar PV output (adding forecasting uncertainty for AEMO), a transmission outage on the Avon–Marulan 330 kV line, binding thermal constraints (e.g., N>>16_8_39, N>NIL_969, N>>NIL_85_86_S, N>NIL_94T, N>NIL_94K_1) limiting generator dispatch, interconnector counter-price flows and Negative Residue Management constraints on VNI and QNI, and pre-existing generator outages—including the 850 MW Waratah BESS (transformer incident, unavailable until May 2026, and currently not providing SIPS services), the 685 MW Bayswater Unit 1, and the 680 MW Vales Point Unit 5 (both weeks away from return). The price cap was exceeded in the physical dispatch price due to binding constraints, and curtailment of variable renewable energy (VRE) was extensive, with over half of semi-scheduled VRE availability curtailed during the spike. The event highlights the compounding effects of weather, generator failures, transmission constraints, and system instability on wholesale electricity prices. Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Its Timeframe of the event impact on the electricity_market is: Same day, intraday volatility (26 Nov 2025). Its root_cause is: Convergence of sudden cloud cover reducing rooftop solar, high temperature demand, generator outages (Waratah BESS transformer failure, Bayswater Unit 1, Vales Point Unit 5), transmission line outage (Avon–Marulan 330 kV), and binding network constraints causing extreme price volatility. Its accident scale is: Record intra-day price spread of $21,299.99/MWh between market price cap and floor within one hour; multiple dispatch intervals at extreme prices (four at cap, four at floor); physical dispatch price exceeding cap due to constraints. Its dates (if different from main date) is: 26-11-2025. Its affected region is: New South Wales (NSW), Australia (National Electricity Market). Its affected key users is: AEMO, market participants (generators, storage operators), electricity consumers in NSW, rooftop PV owners indirectly. Its cause type is: Combination of weather, technical failures, and operational constraints. Its causes is: High temperatures; sudden cloud cover from storm reducing rooftop PV output; pre-existing generator outages (Waratah BESS transformer incident, Bayswater Unit 1, Vales Point Unit 5); transmission line outage on Avon–Marulan 330 kV; binding thermal constraints (N>>16_8_39, N>NIL_969, N>>NIL_85_86_S, N>NIL_94T, N>NIL_94K_1); interconnector counter-price flows and Negative Residue Management constraints on VNI and QNI; and AEMO forecasting challenges due to rapid cloud movement."
"Daytime price volatility in NSW on November 26th, 2025",Linton Corbet,26-11-2025 11:50:00 AM,2025-11-26,"The summary of the news ""Daytime price volatility in NSW on November 26th, 2025"" posted at 26-11-2025 11:50:00 AM is: On November 26, 2025, electricity prices in New South Wales (NSW) reached the Market Price Cap (MPC) of $20,300/MWh for four successive trading intervals from 11:00 to 11:15. The price spike was accompanied by counter-price flows from NSW into Victoria, interconnector imports from Queensland reaching limits, and notable generation changes—battery output increased while wind generation decreased and solar output rose. This event highlights a temporary supply-demand imbalance causing extreme price volatility in the NSW region. Its relevance level is: Level 2 (Relevant). Its category is: market reactions. Its Timeframe of the event impact on the electricity_market is: Intraday on 26 November 2025, specifically the four 5-minute intervals from 11:00 to 11:15. Its root_cause is: Supply-demand imbalance due to fluctuating renewable generation (wind drop, solar rise) and interconnector constraints. Its accident scale is: Localized price spike in the NSW market region. Its dates is: 26-11-2025. Its affected region is: New South Wales (NSW), Australia, within the National Electricity Market (NEM). Its affected key users is: Wholesale market participants, generators, retailers, and end-consumers exposed to spot prices. Its cause type is: Market and operational factors. Its causes (a summarized list of cause events) is: 1. Reduction in wind generation, 2. Increase in solar generation, 3. Increase in battery output, 4. Interconnector from Queensland to NSW operating at its limit, 5. Counter-price flows from NSW to Victoria indicating congestion."
"Record intra-day price spread as the NSW spot price goes near the market floor, after hitting the market cap on Tuesday 25th Nov 2025",Dan Lee,25-11-2025 03:55:00 PM,2025-11-25,"The summary of the news ""Record intra-day price spread as the NSW spot price goes near the market floor, after hitting the market cap on Tuesday 25th Nov 2025"" posted at 25-11-2025 03:55:00 PM is: On November 25, 2025, the New South Wales (NSW) region in the National Electricity Market experienced the largest intra-day price spread in NEM history, with the spot price spiking to $20,300/MWh (market cap) at the 12:20 dispatch interval and then plunging to –$719.65/MWh (near the floor of –$1,000/MWh) at 15:45, a swing of $21,019.65. The extreme volatility was linked to unforecast constraint equations, limiting the battery fleet's ability to arbitrage; Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: Intra-day (single day), with immediate price fluctuations but no longer-term impact specified. Its root_cause is: Unforecast constraint equations in the AEMO pre-dispatch model causing sharp supply-demand imbalance and price spikes/dips. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 25-11-2025. Its affected region is: New South Wales (NSW), Australia. Its affected key users is: Battery fleet (noted as having limited response window). Its cause type is: Market/system operation. Its causes (a summarized list of cause events) is: (1) Three interesting constraint equations affecting NSW dispatch; (2) P5 pre-dispatch model did not forecast the initial price spike; (3) Subsequent collapse to negative prices due to oversupply or network constraints."
"Price spikes up to the MPC in NSW, seemingly out of the blue, during the middle of Tuesday, 25th Nov 2025",Dan Lee,25-11-2025 02:00:00 PM,2025-11-25,"The summary of the news ""Price spikes up to the MPC in NSW, seemingly out of the blue, during the middle of Tuesday, 25th Nov 2025"" posted at 25-11-2025 02:00:00 PM is: On 25 November 2025, the NSW spot price unexpectedly spiked to the Market Price Cap (MPC) during two dispatch intervals (12:15 and 12:20) due to a sharp rise in market demand caused by a large cloud bank reducing rooftop solar output over Sydney, combined with binding network constraints from outages (Lower Tumut–Canberra 330 kV line, Parkes transformer) that limited supply response. Its relevance level is: Level 1. Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: Short-lived spike from 12:15 to 12:20 on 25 Nov 2025, with projected further spikes later that afternoon. Its root_cause is: Cloud bank reducing rooftop PV generation, causing sudden increase in net market demand, and simultaneous binding network constraints limiting generation response. Its accident scale is: Unknown. Its dates is: 25-11-2025. Its affected region is: NSW, specifically the Sydney metropolitan area. Its affected key users is: Unknown. Its cause type is: Combination of weather (cloud cover) and network outages/constraints. Its causes is: 1. Large cloud bank reducing rooftop PV output across Sydney. 2. Sudden increase in net market demand. 3. Binding transient stability constraint due to outage of Lower Tumut–Canberra 330 kV line. 4. Binding thermal constraint in northern NSW (N>>NIL_85_86_S). 5. Binding thermal constraint due to outage of Parkes transformer (N>PKTX_TX_NIL)."
"Energex report nearly 100,000 customers still without power this morning in South-East Queensland after last night’s storms",Dan Lee,25-11-2025 10:20:00 AM,2025-11-24,"The summary of the news ""Energex report nearly 100,000 customers still without power this morning in South-East Queensland after last night’s storms"" posted at 25-11-2025 10:20:00 AM is: On 24 November 2025, severe thunderstorms with destructive winds exceeding 110 km/h, giant hailstones up to 12 cm, and over 880,000 lightning strikes swept through South-East Queensland, causing extensive damage to electricity infrastructure. Initially 161,000 customers lost power; by the morning of 25 November, approximately 96,000 remained without power with over 600 powerlines down. Crews restored 64,000 customers overnight, but some areas may not see power restored until the evening of 26 November.; Its relevance level is: Level 1 (Most Relevant); Its category is: Extreme weather; Its Timeframe of the event impact on the electricity_market is: Short-term (24-26 November 2025); Its root_cause is: Severe thunderstorms with destructive winds, giant hail, and dense lightning causing physical damage to power lines and infrastructure; Its accident scale is: Up to 161,000 customers affected, with 96,000 still without power and over 600 powerlines down; Its dates is: 24-11-2025 (event date); Its affected region is: South-East Queensland, Australia; Its affected key users is: Residential customers and schools (11 schools closed); Its cause type is: Natural disaster (severe weather); Its causes is: Destructive winds >110 km/h, giant hailstones up to 12 cm in diameter, dense lightning strikes (880,000 recorded)."
"Further thoughts (and questions) about Waratah BESS, two weeks after the snowball started to roll…",Paul McArdle,21-11-2025 01:34:00 PM,2025-11-07 long unplanned outage at Waratah BESS?,"The summary of the news ""Further thoughts (and questions) about Waratah BESS, two weeks after the snowball started to roll…"" posted at 21-11-2025 01:34:00 PM is: This article delves into the lengthy unplanned partial outage of the Waratah BESS, beginning with a catastrophic transformer failure over the weekend of 18-20 October 2025, which reduced availability and led to an extended outage until at least May 2026. The author traces the chronology from the initial failure, through rebids and PASA data updates, to the public awareness sparked by an AFR article on 10-11 November 2025. Market impacts on NSW hedge contracts were difficult to discern, while Akaysha Energy's subsequent update confirmed ongoing root cause analysis and a separate planned shutdown. The event highlights grid service vulnerabilities and raises questions about project timelines and contract awards.

Its **relevance level** is: Level 1 (Most Relevant).  
Its **category** is: grid/system instability.  
Its **Timeframe of the event impact on the electricity_market** is: October 2025 to at least May 2026 (ongoing).  
Its **root_cause** is: Catastrophic failure of a transformer (HVT3) at the Waratah BESS.  
Its **accident scale** is: Catastrophic failure, leading to a near full-year outage.  
Its **dates** (if different from the main date) is: Incident on 18-10-2025, extended outage announced on 07-11-2025.  
Its **affected region** is: New South Wales (NSW), Australia.  
Its **affected key users** are: AEMO, Transgrid, EnergyCo, and NSW electricity consumers reliant on System Integrity Protection Scheme (SIPS).  
Its **cause type** is: Equipment failure (transformer).  
Its **causes** (a summarized list of cause events) are:  
- Transformer failure (HVT3) during commissioning or operation.  
- Subsequent de-energisation of HVT2 for testing.  
- Root cause analysis ongoing, expected to take weeks or months."
Extending the tabulated history of significant (Frequency and/or AggROT) events into 2025 Q3 and 2025 Q4,Paul McArdle,20-11-2025 08:00:00 PM,Is the Semi-Scheduled Category Sustainable or Scalable?,"The summary of the news ""Extending the tabulated history of significant (Frequency and/or AggROT) events into 2025 Q3 and 2025 Q4"" posted at 20-11-2025 08:00:00 PM is: This article extends the tabulated history of significant frequency and Aggregate Raw Off-Target (AggROT) events for semi-scheduled units in the National Electricity Market (NEM) into 2025 Q3 and Q4, documenting numerous frequency excursions (both within and outside the NOFB) and large AggROT values (exceeding 300 MW, 500 MW, or 600 MW). These events are attributed to a variety of causes including collective underperformance of solar farms (e.g., 31 Oct, 30 Oct, 16 Oct), generator trips (e.g., Callide B2 on 28 Oct, Loy Yang A1 on 30 Aug, Yallourn unit 2 on 26 Aug, CPP_4 on 26 Oct), AEMO data glitches causing phantom demand ramps (e.g., 6 Nov, 11 Nov), and other operational issues. The analysis raises concerns about the sustainability and scalability of the semi-scheduled category, as highlighted at the NEMdev 2025 conference and in relation to the Nelson Review. Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its Timeframe of the event impact on the electricity_market is: Ongoing from early August 2025 to mid-November 2025. Its root_cause is: Multiple factors including variable renewable energy (VRE) underperformance, generator outages, and AEMO data system glitches. Its accident scale is: Multiple discrete events; some frequency drops exceeded the NOFB (e.g., 49.826 Hz on 16 Oct, 49.838 Hz on 26 Aug) and AggROT reached up to -1,678 MW (over-performance) on 19 Aug 2025. Its dates (if different from the main date; if the same, repeat the same date) is: Various dates from 2 August 2025 to 15 November 2025. Its affected region is: NEM mainland (primarily Victoria and Queensland, but affecting the entire NEM). Its affected key users is: AEMO, market participants, semi-scheduled generators, and system operators. Its cause type is: Technical and operational. Its causes (a summarized list of cause events) is: 1) Collective underperformance of solar farms (e.g., 31 Oct, 30 Oct, 16 Oct, 20 Sep, 27 Aug); 2) Generator trips (Callide B2, Loy Yang A1, Yallourn unit 2, CPP_4, Tallawarra B, WTAHB1, etc.); 3) AEMO data glitches causing phantom Victorian demand ramps (6 Nov, 11 Nov); 4) Other uninvestigated events (e.g., 3 Nov, 2 Nov, 1 Nov, 29 Oct, etc.) and occasional over-performance of semi-scheduled units (e.g., 14 Sep, 19 Aug)."
Large drop in ‘Market Demand’ in South Australia on Thursday 20th November 2025,Paul McArdle,20-11-2025 06:52:00 PM,2025-11-20,"The summary of the news ""Large drop in ‘Market Demand’ in South Australia on Thursday 20th November 2025"" posted at 20-11-2025 06:52:00 PM is: On the evening of 20 November 2025, a large 214 MW drop in South Australian market demand occurred during the 17:50 dispatch interval (NEM time), as recorded by the ez2view notifications widget. The event is notable for its rapid run-up and subsequent drop, but it remains unclear whether this was a genuine demand fluctuation or a data glitch. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: Immediate (within the dispatch interval, short-term). Its root_cause is: Unknown (possible data glitch or actual demand drop). Its accident scale is: 214 MW drop. Its dates (if different from the main date; if the same, repeat the same date) is: 20-11-2025. Its affected region is: South Australia. Its affected key users is: Unknown (likely all electricity market participants in the region). Its cause type is: Unknown. Its causes (a summarized list of cause events) is: [Possible data glitch; possible genuine demand drop due to unknown operational or system factor]."
A case study into reserve uncertainty during peak demand events in the NEM,Dan Lee,20-11-2025 03:30:00 PM,2024-01-22 QLD (massively higher!) all time max demand,"The summary of the news ""A case study into reserve uncertainty during peak demand events in the NEM"" posted at 20-11-2025 is: On January 22, 2024, Queensland experienced an unprecedented peak demand exceeding 11 GW due to extreme heat (42.5°C) and a sudden cloud band that caused a rapid collapse of rooftop solar output, leading to a steep net demand ramp. Reserve margins fell to just 4.09% (425 MW), requiring activation of demand response and distribution network outages (affecting 40,000+ properties) to avoid load shedding. Forecast errors of up to 750 MW at one hour ahead hindered reserve activation mechanisms, highlighting challenges of high DER penetration and forecasting limitations.; Its relevance level is: Level 1 (Most Relevant); Its category is: Grid/system instability; Its Timeframe of the event impact on the electricity_market is: Immediate (hours) on 22 January 2024, with long-term implications for market design and forecasting; Its root_cause is: Extreme heatwave (42.5°C) combined with unexpected dense cloud cover reducing rooftop PV output by over 1,500 MW/hr, causing a rapid net demand surge that depleted reserve margins; Its accident scale is: Near miss of load shedding; excess generation fell to 425 MW (4.09% IR"
Early afternoon volatility in NSW on Thursday 20th November 2025,Paul McArdle,20-11-2025 01:29:00 PM,2025-11-20,"The summary of the news ""Early afternoon volatility in NSW on Thursday 20th November 2025"" posted at 20-11-2025 01:29:00 PM is: A brief NEMwatch snapshot at 13:25 on Thursday 20th November 2025 reports market volatility in New South Wales, but provides no specific details on the cause, scale, or affected parties. Its relevance level is: Level 2 (Relevant). Its category is: market reactions. Its Timeframe of the event impact on the electricity_market is: immediate (afternoon of 20 November 2025). Its root_cause is: Unknown. Its accident scale is: Unknown. Its dates are: 20-11-2025. Its affected region is: New South Wales (NSW). Its affected key users is: Unknown. Its cause type is: Unknown. Its causes is: Unknown."
AEMO issues Market Notice ‘Update to Negative Settlement Residue constraint equations’,Paul McArdle,19-11-2025 05:12:00 PM,2025-11-19,"The summary of the news ""AEMO issues Market Notice ‘Update to Negative Settlement Residue constraint equations’"" posted at 19-11-2025 05:12:00 PM is: The Australian Energy Market Operator (AEMO) issued Market Notice MN130792 on 19 November 2025, announcing updates to several negative settlement residue (NRM) constraint equations (NRM_NSW1_QLD1, NRM_NSW1_VIC1, NRM_QLD1_NSW1, NRM_SA1_VIC1, NRM_VIC1_NSW1, NRM_VIC1_SA1) to address a ""cycling"" issue in the clamping process, following a consultation whose final report and updated guide were published the same day; Its relevance level is: Level 2 (Relevant). Its category is: market reactions. Its Timeframe of the event impact on the electricity_market is: Ongoing from 19 November 2025 onwards (implementation of updated constraint equations). Its root_cause is: A consultation recommendation to manage the ""cycling"" issue in the negative settlement residue clamping process. Its accident scale is: Unknown (no accident reported). Its dates (if different from the main date; if the same, repeat the same date) is: 19-11-2025. Its affected region is: Australian National Electricity Market (NEM) interconnectors: NSW1-QLD1, NSW1-VIC1, QLD1-NSW1, SA1-VIC1, VIC1-NSW1, VIC1-SA1. Its affected key users is: Market participants engaged in inter-regional trading and settlement. Its cause type is: Regulatory/operational change. Its causes (a summarized list of cause events) is: 1. Cycling issue in the clamping process of negative settlement residues; 2. Final report from AEMO consultation on automation of negative residue management."
"How high did frequency get, on Tuesday 11th November 2025, when that gremlin re-appeared?",Paul McArdle,19-11-2025 01:51:00 PM,2025-11-11,"The summary of the news ""How high did frequency get, on Tuesday 11th November 2025, when that gremlin re-appeared?"" posted at 19-11-2025 01:51:00 PM is: On Tuesday 11th November 2025, a frequency excursion occurred in the National Electricity Market (NEM), with high-speed readings from a Device 2 in Brisbane showing the frequency peaked at 50.152 Hz at 09:10:34.7 NEM time, just outside the Normal Operating Frequency Band (NOFB). This deviation was part of a period above 50.14 Hz that lasted from 09:07:52.2 to 09:11:07.8, a duration of over 3 minutes. The event is attributed to a recurring ""gremlin"" interfering with the NEM Dispatch Engine (NEMDE). Its relevance level is: Level 2 (Relevant). Its category is: Grid frequency issues. Its Timeframe of the event impact on the electricity_market is: Immediate and during the morning of 11 November 2025. Its root_cause is: Systematic anomaly in NEMDE (likely software or control system error) causing a temporary frequency deviation. Its accident scale is: Unknown (single frequency excursion, no reported widespread outages). Its dates (if different from the main date; if the same, repeat the same date) is: 11-11-2025. Its affected region is: Brisbane (monitoring location) and likely the wider NEM. Its affected key users is: Unknown (general grid participants). Its cause type is: Technical/operational anomaly. Its causes (a summarized list of cause events) is: Recurrence of an unexplained ""gremlin"" in NEMDE, triggering a frequency excursion above the NOFB threshold."
"The bottom falls out of SA ‘Market Demand’ unexpectedly, on Tuesday 18th November 2025",Paul McArdle,19-11-2025 08:07:00 AM,2025-11-18,"The summary of the news ""The bottom falls out of SA ‘Market Demand’ unexpectedly, on Tuesday 18th November 2025"" posted at 19-11-2025 08:07:00 AM is: On Tuesday 18 November 2025, South Australia experienced an unexpected and steep drop in Market Demand, plunging from forecast levels by about 600 MW (80%) to a low of 150 MW around midday. The main cause was likely a sudden clearing of clouds that unleashed a large, unforecast surge in rooftop solar photovoltaic (PV) generation, overwhelming AEMO’s earlier demand forecasts and triggering an Actual Minimum System Load Level 1 (MSL1) condition—a grid stability alert—that lasted from approximately 13:00 to 14:00 NEM time. This event highlights the ongoing challenge of forecasting variable renewable energy (VRE) output.; Its relevance level is: Level 1 (Most Relevant).; Its category is: grid/system instability.; Its Timeframe of the event impact on the electricity_market is: 18 November 2025, approximately 11:30 to 14:00 NEM time (midday impact).; Its root_cause is: Unexpected high output from rooftop solar PV due to sudden cloud clearing, causing a sharp reduction in net demand.; Its accident scale is: Not an accident; a demand forecast error of about 600 MW (80% below forecast), leading to an MSL1 advisory condition.; Its dates (if different from the main date; if the same, repeat the same date) is: Main event date: 18 November 2025.; Its affected region is: South Australia (SA region of the National Electricity Market).; Its affected key users is: AEMO, grid operators, and potentially residential/commercial customers with rooftop PV (as generators), but specific users not named.; Its cause type is: Weather-related (cloud cover variability) and renewable generation forecast uncertainty.; Its causes (a summarized list of cause events) is: 1) Clearing of clouds over South Australia around 11:30 NEM time. 2) Resulting surge in rooftop PV output far exceeding AEMO’s forecast. 3) Consequent rapid decline in Market Demand to 150 MW, triggering an MSL1 condition."
